lambda: 2.777778 mu: 4.166667
  0 SNES Function norm 1.24347 
    0 SNES Function norm 1.24347 
    1 SNES Function norm 3.37814 
    0 KSP Residual norm 11.7457 
    1 KSP Residual norm 11.4249 
    2 KSP Residual norm 0.894042 
    3 KSP Residual norm 0.613708 
    4 KSP Residual norm 0.607146 
    5 KSP Residual norm 0.10572 
    6 KSP Residual norm 0.0177963 
    7 KSP Residual norm 0.00495205 
    8 KSP Residual norm 0.00124987 
    9 KSP Residual norm 0.000290809 
  1 SNES Function norm 1.42434 
    0 SNES Function norm 1.42434 
    1 SNES Function norm 0.404821 
    0 KSP Residual norm 0.382898 
    1 KSP Residual norm 0.0373055 
    2 KSP Residual norm 0.00556734 
    3 KSP Residual norm 0.00307868 
    4 KSP Residual norm 0.0018731 
    5 KSP Residual norm 0.000613597 
    6 KSP Residual norm 0.000249855 
    7 KSP Residual norm 6.40375e-05 
    8 KSP Residual norm 2.4802e-05 
  2 SNES Function norm 0.00936744 
Number of SNES iterations = 2
