  0 TAO,  Function value: -13.9683,  Residual: 583.708 
  1 TAO,  Function value: -12.4483,  Residual: 332.726 
  2 TAO,  Function value: -11.0043,  Residual: 207.573 
  3 TAO,  Function value: -9.63252,  Residual: 113.503 
  4 TAO,  Function value: -8.32931,  Residual: 55.5573 
  5 TAO,  Function value: -7.09126,  Residual: 28.8869 
  6 TAO,  Function value: -5.91512,  Residual: 15.7673 
  7 TAO,  Function value: -4.79778,  Residual: 8.26063 
  8 TAO,  Function value: -3.7363,  Residual: 11.7492 
  9 TAO,  Function value: -2.72791,  Residual: 7.11272 
 10 TAO,  Function value: -1.76993,  Residual: 4.1046 
 11 TAO,  Function value: -0.859846,  Residual: 3.80372 
 12 TAO,  Function value: -16.4222,  Residual: 3.65918 
 13 TAO,  Function value: -14.7795,  Residual: 3.61055 
 14 TAO,  Function value: -13.219,  Residual: 3.44652 
 15 TAO,  Function value: -11.7364,  Residual: 3.11479 
 16 TAO,  Function value: -10.328,  Residual: 2.88375 
 17 TAO,  Function value: -8.99004,  Residual: 2.49274 
 18 TAO,  Function value: -7.71895,  Residual: 2.35623 
 19 TAO,  Function value: -6.51142,  Residual: 2.29071 
 20 TAO,  Function value: -5.36427,  Residual: 2.21575 
