  0 TAO,  Function value: 0.0695518,  Residual: 0.0210694 
  1 TAO,  Function value: 0.0307588,  Residual: 0.00993896 
  2 TAO,  Function value: 0.018355,  Residual: 0.004311 
  3 TAO,  Function value: 0.0134214,  Residual: 0.00264026 
  4 TAO,  Function value: 0.00898117,  Residual: 0.00141104 
  5 TAO,  Function value: 0.00618217,  Residual: 0.000794529 
  6 TAO,  Function value: 0.00419458,  Residual: 0.000435281 
  7 TAO,  Function value: 0.00281667,  Residual: 0.000243567 
  8 TAO,  Function value: 0.00189534,  Residual: 0.000131934 
  9 TAO,  Function value: 0.00126306,  Residual: 7.40172e-05 
 10 TAO,  Function value: 0.000837168,  Residual: 3.9962e-05 
 11 TAO,  Function value: 0.000561999,  Residual: 2.31062e-05 
 12 TAO,  Function value: 0.000355164,  Residual: 1.21061e-05 
 13 TAO,  Function value: 0.000241676,  Residual: 1.05257e-05 
 14 TAO,  Function value: 4.08422e-05,  Residual: 8.48949e-08 
 15 TAO,  Function value: 4.08276e-05,  Residual: 5.56118e-08 
