  0 TAO,  Function value: 0.000313915,  Residual: 0.00481875 
  1 TAO,  Function value: 3.91597e-05,  Residual: 0.00156591 
  2 TAO,  Function value: 9.86981e-06,  Residual: 0.00054522 
  3 TAO,  Function value: 2.98889e-06,  Residual: 0.000264121 
  4 TAO,  Function value: 9.51953e-07,  Residual: 0.000123374 
  5 TAO,  Function value: 5.37143e-07,  Residual: 0.000110129 
  6 TAO,  Function value: 3.65273e-07,  Residual: 4.75125e-05 
  7 TAO,  Function value: 3.15702e-07,  Residual: 3.44545e-05 
  8 TAO,  Function value: 2.34645e-07,  Residual: 2.74641e-05 
  9 TAO,  Function value: 2.16264e-07,  Residual: 5.8518e-05 
 10 TAO,  Function value: 1.78739e-07,  Residual: 2.66461e-05 
 11 TAO,  Function value: 1.49005e-07,  Residual: 2.17565e-05 
 12 TAO,  Function value: 1.14367e-07,  Residual: 3.02197e-05 
 13 TAO,  Function value: 6.70399e-08,  Residual: 3.49397e-05 
 14 TAO,  Function value: 5.10327e-08,  Residual: 3.21231e-05 
 15 TAO,  Function value: 3.59509e-08,  Residual: 1.33461e-05 
 16 TAO,  Function value: 3.09348e-08,  Residual: 7.18094e-06 
 17 TAO,  Function value: 2.82121e-08,  Residual: 7.53777e-06 
 18 TAO,  Function value: 2.49741e-08,  Residual: 1.09799e-05 
 19 TAO,  Function value: 2.25092e-08,  Residual: 7.24102e-06 
 20 TAO,  Function value: 2.12503e-08,  Residual: 4.47723e-06 
TAO solve converged due to CONVERGED_GTTOL iterations 20
