  0 TAO,  Function value: 0.000313915,  Residual: 0.011806 
  1 TAO,  Function value: 4.63404e-05,  Residual: 0.004267 
  2 TAO,  Function value: 1.26205e-05,  Residual: 0.00142801 
  3 TAO,  Function value: 5.32112e-06,  Residual: 0.000712927 
  4 TAO,  Function value: 2.62094e-06,  Residual: 0.000461495 
  5 TAO,  Function value: 1.24242e-06,  Residual: 0.000520648 
  6 TAO,  Function value: 5.57272e-07,  Residual: 0.000277431 
  7 TAO,  Function value: 3.16415e-07,  Residual: 0.000149701 
  8 TAO,  Function value: 1.39438e-07,  Residual: 8.6685e-05 
  9 TAO,  Function value: 9.21023e-08,  Residual: 0.000114825 
 10 TAO,  Function value: 5.5438e-08,  Residual: 5.01507e-05 
 11 TAO,  Function value: 3.64917e-08,  Residual: 4.06085e-05 
 12 TAO,  Function value: 2.26618e-08,  Residual: 3.94325e-05 
 13 TAO,  Function value: 2.08723e-08,  Residual: 5.29486e-05 
 14 TAO,  Function value: 1.59712e-08,  Residual: 1.63946e-05 
 15 TAO,  Function value: 1.43133e-08,  Residual: 1.24061e-05 
 16 TAO,  Function value: 1.08537e-08,  Residual: 1.93975e-05 
 17 TAO,  Function value: 7.78741e-09,  Residual: 2.81793e-05 
 18 TAO,  Function value: 4.50755e-09,  Residual: 1.89404e-05 
 19 TAO,  Function value: 2.25304e-09,  Residual: 1.22113e-05 
 20 TAO,  Function value: 8.74326e-10,  Residual: 1.15581e-05 
 21 TAO,  Function value: 4.41653e-10,  Residual: 8.67437e-06 
 22 TAO,  Function value: 2.21605e-10,  Residual: 3.50138e-06 
 23 TAO,  Function value: 1.45091e-10,  Residual: 2.33798e-06 
 24 TAO,  Function value: 8.83796e-11,  Residual: 2.40421e-06 
 25 TAO,  Function value: 5.66826e-11,  Residual: 2.62167e-06 
 26 TAO,  Function value: 3.4931e-11,  Residual: 1.23619e-06 
 27 TAO,  Function value: 2.39295e-11,  Residual: 9.25171e-07 
TAO solve converged due to CONVERGED_GTTOL iterations 27
