  0 TAO,  Function value: 1.,  Residual: 2. 
  1 TAO,  Function value: 0.773446,  Residual: 6.07754 
  2 TAO,  Function value: 0.678306,  Residual: 11.6118 
  3 TAO,  Function value: 0.527317,  Residual: 10.2616 
  4 TAO,  Function value: 0.287583,  Residual: 1.97192 
  5 TAO,  Function value: 0.258378,  Residual: 4.94254 
  6 TAO,  Function value: 0.196009,  Residual: 3.94656 
  7 TAO,  Function value: 0.162895,  Residual: 1.72486 
  8 TAO,  Function value: 0.111809,  Residual: 0.838501 
  9 TAO,  Function value: 0.0771467,  Residual: 4.21876 
 10 TAO,  Function value: 0.0210529,  Residual: 2.62308 
 11 TAO,  Function value: 0.0179556,  Residual: 0.373517 
 12 TAO,  Function value: 0.0150019,  Residual: 0.54765 
 13 TAO,  Function value: 0.0110829,  Residual: 2.33782 
 14 TAO,  Function value: 0.00199921,  Residual: 0.241219 
 15 TAO,  Function value: 0.000337519,  Residual: 0.343132 
 16 TAO,  Function value: 0.000108619,  Residual: 0.243814 
 17 TAO,  Function value: 1.22089e-06,  Residual: 0.0229461 
 18 TAO,  Function value: 1.44749e-07,  Residual: 0.0113891 
 19 TAO,  Function value: 3.96009e-12,  Residual: 1.29679e-05 
 20 TAO,  Function value: 1.37581e-12,  Residual: 3.72948e-05 
 21 TAO,  Function value: 2.02457e-22,  Residual: 3.28121e-10
